purchase_year_month,price,period_str
2016-09,89.12,2016-09
2016-10,160.73915584415585,2016-10
2016-12,10.9,2016-12
2017-01,152.4877946768061,2017-01
2017-02,142.70226197345642,2017-02
2017-03,141.74339265429762,2017-03
2017-04,150.53418235048096,2017-04
2017-05,138.27080327868853,2017-05
2017-06,134.6094497979484,2017-06
2017-07,125.48034265558074,2017-07
2017-08,133.69943629163757,2017-08
2017-09,147.1604265849635,2017-09
2017-10,145.40705560420315,2017-10
2017-11,135.58869547711717,2017-11
2017-12,132.27492354196303,2017-12
2018-01,131.58315235457064,2018-01
2018-02,126.10975649835673,2018-02
2018-03,136.7853978853645,2018-03
2018-04,143.73345111047016,2018-04
2018-05,145.41334889829272,2018-05
2018-06,140.44225811688312,2018-06
2018-07,142.75581380519688,2018-07
2018-08,132.46843304401736,2018-08
2018-09,145.0,2018-09
